Field ID	Year Code	Year
3	i1970	1970
4	i1971	1971
5	i1972	1972
6	i1973	1973
7	i1974	1974
8	i1975	1975
9	i1976	1976
10	i1977	1977
11	i1978	1978
12	i1979	1979
13	i1980	1980
14	i1981	1981
15	i1982	1982
16	i1983	1983
17	i1984	1984
18	i1985	1985
19	i1986	1986
20	i1987	1987
21	i1988	1988
22	i1989	1989
23	i1990	1990
24	i1991	1991
25	i1992	1992
26	i1993	1993
27	i1994	1994
28	i1995	1995
29	i1996	1996
30	i1997	1997
31	i1998	1998
32	i1999	1999
33	i2000	2000
34	i2001	2001
35	i2002	2002
36	i2003	2003
37	i2004	2004
38	i2005	2005
39	i2006	2006
40	i2007	2007
41	i2008	2008
42	i2009	2009
43	i2010	2010
44	i2011	2011
45	i2012	2012
46	i2013	2013
47	i2014	2014
48	i2015	2015
49	i2016	2016
